Ação: Inserido no banco, Nó: [37], Código da Ordem de Serviço: 37, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [38], Código da Ordem de Serviço: 38, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [39], Código da Ordem de Serviço: 39, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [40], Código da Ordem de Serviço: 40, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [41], Código da Ordem de Serviço: 41, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [42], Código da Ordem de Serviço: 42, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [43], Código da Ordem de Serviço: 43, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [44], Código da Ordem de Serviço: 44, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [45], Código da Ordem de Serviço: 45, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [46], Código da Ordem de Serviço: 46, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [47], Código da Ordem de Serviço: 47, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [48], Código da Ordem de Serviço: 48, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [49], Código da Ordem de Serviço: 49, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [50], Código da Ordem de Serviço: 50, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [51], Código da Ordem de Serviço: 51, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [52], Código da Ordem de Serviço: 52, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [53], Código da Ordem de Serviço: 53, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [54], Código da Ordem de Serviço: 54, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [55], Código da Ordem de Serviço: 55, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [56], Código da Ordem de Serviço: 56, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [57], Código da Ordem de Serviço: 57, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [58], Código da Ordem de Serviço: 58, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [59], Código da Ordem de Serviço: 59, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [60], Código da Ordem de Serviço: 60, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [61], Código da Ordem de Serviço: 61, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [62], Código da Ordem de Serviço: 62, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [63], Código da Ordem de Serviço: 63, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [64], Código da Ordem de Serviço: 64, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [65], Código da Ordem de Serviço: 65, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [66], Código da Ordem de Serviço: 66, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [67], Código da Ordem de Serviço: 67, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [68], Código da Ordem de Serviço: 68, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido no banco, Nó: [69], Código da Ordem de Serviço: 69, Tabela de Cache: [null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido na cache, Nó: [49], Código da Ordem de Serviço: 49, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][null][null][null][null][null][null][null][null][null][null]
Ação: Inserido na cache, Nó: [50], Código da Ordem de Serviço: 50, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][null][null][null][null][null][null][null][null][null]
Ação: Inserido na cache, Nó: [51], Código da Ordem de Serviço: 51, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][51][null][null][null][null][null][null][null][null]
Ação: Inserido na cache, Nó: [52], Código da Ordem de Serviço: 52, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][51][52][null][null][null][null][null][null][null]
Ação: Inserido na cache, Nó: [53], Código da Ordem de Serviço: 53, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][51][52][53][null][null][null][null][null][null]
Ação: Inserido na cache, Nó: [54], Código da Ordem de Serviço: 54, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][51][52][53][54][null][null][null][null][null]
Ação: Inserido na cache, Nó: [55], Código da Ordem de Serviço: 55, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][51][52][53][54][55][null][null][null][null]
Ação: Inserido na cache, Nó: [56], Código da Ordem de Serviço: 56, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][51][52][53][54][55][56][null][null][null]
Ação: Inserido na cache, Nó: [57], Código da Ordem de Serviço: 57, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][51][52][53][54][55][56][57][null][null]
Ação: Inserido na cache, Nó: [58], Código da Ordem de Serviço: 58, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][51][52][53][54][55][56][57][58][null]
Ação: Inserido na cache, Nó: [59], Código da Ordem de Serviço: 59, Tabela de Cache: [null][null][null][null][null][null][null][null][null][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido na cache, Nó: [60], Código da Ordem de Serviço: 60, Tabela de Cache: [60][null][null][null][null][null][null][null][null][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido na cache, Nó: [61], Código da Ordem de Serviço: 61, Tabela de Cache: [60][61][null][null][null][null][null][null][null][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido na cache, Nó: [62], Código da Ordem de Serviço: 62, Tabela de Cache: [60][61][62][null][null][null][null][null][null][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido na cache, Nó: [63], Código da Ordem de Serviço: 63, Tabela de Cache: [60][61][62][63][null][null][null][null][null][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido na cache, Nó: [64], Código da Ordem de Serviço: 64, Tabela de Cache: [60][61][62][63][64][null][null][null][null][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido na cache, Nó: [65], Código da Ordem de Serviço: 65, Tabela de Cache: [60][61][62][63][64][65][null][null][null][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido na cache, Nó: [66], Código da Ordem de Serviço: 66, Tabela de Cache: [60][61][62][63][64][65][66][null][null][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido na cache, Nó: [67], Código da Ordem de Serviço: 67, Tabela de Cache: [60][61][62][63][64][65][66][67][null][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido na cache, Nó: [68], Código da Ordem de Serviço: 68, Tabela de Cache: [60][61][62][63][64][65][66][67][68][49][50][51][52][53][54][55][56][57][58][59]
Ação: Buscado e inserido na cache, Nó: [50], Código da Ordem de Serviço: 50, Tabela de Cache: [60][61][62][63][64][65][66][67][68][49][50][51][52][53][54][55][56][57][58][59]
Ação: Buscado e inserido na cache, Nó: [25], Código da Ordem de Serviço: 25, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][50][51][52][53][54][55][56][57][58][59]
Ação: Buscado e inserido na cache, Nó: [67], Código da Ordem de Serviço: 67, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][50][51][52][53][54][55][56][57][58][59]
Ação: Inserido no banco, Nó: [70], Código da Ordem de Serviço: 70, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][50][51][52][53][54][55][56][57][58][59]
Ação: Buscado e inserido na cache, Nó: [70], Código da Ordem de Serviço: 70, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][70][51][52][53][54][55][56][57][58][59]
Ação: Inserido no banco, Nó: [71], Código da Ordem de Serviço: 71, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][70][51][52][53][54][55][56][57][58][59]
Ação: Buscado e inserido na cache, Nó: [71], Código da Ordem de Serviço: 71, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][70][71][52][53][54][55][56][57][58][59]
Ação: Atualizado na cache e no banco, Nó: [70], Código da Ordem de Serviço: 70, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][70][71][52][53][54][55][56][57][58][59]
Ação: Buscado e inserido na cache, Nó: [70], Código da Ordem de Serviço: 70, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][70][71][52][53][54][55][56][57][58][59]
Ação: Atualizado na cache e no banco, Nó: [25], Código da Ordem de Serviço: 25, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][70][71][52][53][54][55][56][57][58][59]
Ação: Buscado e inserido na cache, Nó: [25], Código da Ordem de Serviço: 25, Tabela de Cache: [60][61][62][63][64][25][66][67][68][49][70][71][52][53][54][55][56][57][58][59]
Ação: Buscado e inserido na cache, Nó: [45], Código da Ordem de Serviço: 45, Tabela de Cache: [60][61][62][63][64][45][66][67][68][49][70][71][52][53][54][55][56][57][58][59]
Ação: Buscado e inserido na cache, Nó: [35], Código da Ordem de Serviço: 35, Tabela de Cache: [60][61][62][63][64][45][66][67][68][49][70][71][52][53][54][35][56][57][58][59]
Ação: Inserido no banco, Nó: No@254989ff, Código da Ordem de Serviço: 1, Fila de Cache: 
Ação: Inserido no banco, Nó: No@439f5b3d, Código da Ordem de Serviço: 2, Fila de Cache: 
Ação: Inserido no banco, Nó: No@5197848c, Código da Ordem de Serviço: 3, Fila de Cache: 
Ação: Inserido no banco, Nó: No@2e0fa5d3, Código da Ordem de Serviço: 4, Fila de Cache: 
Ação: Inserido no banco, Nó: No@685f4c2e, Código da Ordem de Serviço: 5, Fila de Cache: 
Ação: Inserido no banco, Nó: No@2e5d6d97, Código da Ordem de Serviço: 6, Fila de Cache: 
Ação: Inserido no banco, Nó: No@31221be2, Código da Ordem de Serviço: 7, Fila de Cache: 
